PILLAR / INDICATOR,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ICT Plan,-,-,-,-,-,-,-,-,1.3334,2.0001,2.0001
Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0006,0.0014,0.0018
ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0000,2.0000,2.0000
STEM graduates,-,-,-,-,-,-,-,-,0.0107,0.1744,0.1294
Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.1802,0.2626,0.3218
