,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STATEMENT OF RECEIPTS AND EXPENDITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,by LGU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY 2025-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In Php Million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, REGION , PROVINCE , LGU NAME , LGU TYPE , CURRENT OPERATING INCOME ,,,,,,,,,,,,,,,,,,, TOTAL CURRENT OPERATING EXPENDITURES ,,,,,,,,, NET OPERATING INCOME/ (LOSS) FROM CURRENT OPERATIONS , NON-INCOME RECEIPTS ,,,,,,,,, NON-OPERATING EXPENDITURES ,,,,,,,,, NET INCREASE/ (DECREASE) IN FUNDS ," ADD: CASH BALANCE, BEGINNING ", FUND/ CASH AVAILABLE , Less: Payment of Prior Year/s Accounts Payable , CONTINUING  APPROPRIATION ," FUND/ CASH BALANCE, END "
,,,,, LOCAL SOURCES ,,,,,,,,,,,, EXTERNAL SOURCES ,,,,, TOTAL CURRENT OPERATING INCOME , GENERAL PUBLIC SERVICES ,SOCIAL SERVICES,,,,,,ECONOMIC SERVICES, DEBT SERVICE (Interest Expense & Other Charges) , TOTAL CURRENT OPERATING EXPENDITURES ,, CAPITAL/ INVESTMENT RECEIPTS ,,,, RECEIPTS FROM LOANS AND BORROWINGS ,,, Other Non-Income Receipts , TOTAL NON-INCOME RECEIPTS , CAPITAL/ INVESTMENT EXPENDITURES ,,,, DEBT SERVICE (Principal Cost) ,,, Other Non-Operating Expenditures , TOTAL NON-OPERATING EXPENDITURES ,,,,,,
,,,,, TAX REVENUE ,,,,,, NON-TAX REVENUE ,,,,, TOTAL LOCAL SOURCES , National Tax Allotment , Other Shares from National Tax Collection , Inter-Local Transfers , Extraordinary Receipts/ Grants/ Donations/ Aids , TOTAL EXTERNAL SOURCES ,,,,,,,,,,,,, Proceeds from Sale of Assets , Proceeds from Sale of Debt Securities of Other Entities , Collection of Loans Receivables , TOTAL CAPITAL/INVESTMENT RECEIPTS , Acquisition of Loans , Issuance of Bonds , TOTAL RECEIPTS FROM LOANS AND BORROWINGS ,,, Purchase/ Construct of Property Plant and Equipment  (Assets/ Capital Outlay) , Purchase of Debt Securities of Other Entities (Investment Outlay) , Grant/ Make Loan to Other Entities (Investment Outlay) , TOTAL CAPITAL/ INVESTMENT EXPENDITURES , Payment of Loan Amortization , Retirement/ Redemption of Bonds/ Debt Securities , TOTAL DEBT SERVICE (Principal Cost) ,,,,,,,,
,,,,, Real Property Tax ,,, Tax on Business , Other Taxes , Total Tax Revenue , Regulatory Fees , Service/ User Charges , Receipts from Economic Enterprises , Other Receipts , Total Non-Tax Revenue ,,,,,,,,," Education, Culture & Sports/ Manpower Development "," Health, Nutrition & Population Control ", Labor and Employment , Housing and Community Development , Social Services and Social Welfare , TOTAL SOCIAL SERVICES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, General Fund , Special Education Fund , Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAR,Abra,Abra,Province,4.63,6.56,11.19,1.17,1.75,14.11,0.55,34.46,0.00,0.37,35.38,49.50,918.13,0.00,0.00,0.00,918.13,967.63,204.29,90.97,186.80,0.40,0.00,6.99,285.16,123.44,1.80,614.69,352.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,456.69,0.00,0.00,456.69,22.30,0.00,22.30,0.00,479.00,-126.03,"1,313.21","1,187.18",21.66,518.16,647.36
,CAR,Apayao,Apayao,Province,1.88,2.74,4.62,3.72,0.29,8.63,3.34,51.83,23.79,1.14,80.10,88.73,843.29,0.01,0.82,0.10,844.23,932.96,154.31,49.76,65.87,0.00,0.00,20.81,136.43,47.55,0.00,338.29,594.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.04,53.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,647.71,"1,426.41","2,074.12",155.75,50.72,"1,867.64"
,CAR,Benguet,Benguet,Province,39.81,41.04,80.85,2.96,20.05,103.85,1.22,43.62,202.99,5.71,253.55,357.40,934.64,29.04,0.00,0.05,963.73,"1,321.13",280.90,26.76,123.08,0.00,0.00,31.61,181.45,265.03,0.00,727.39,593.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.42,0.00,0.00,61.42,0.00,0.00,0.00,0.00,61.42,532.32,"1,112.83","1,645.15",264.31,2.30,"1,378.53"
,CAR,Ifugao,Ifugao,Province,11.00,10.22,21.22,2.09,0.76,24.06,0.86,121.92,0.00,0.84,123.62,147.68,744.14,0.00,0.00,0.00,744.14,891.82,139.32,7.81,154.52,0.00,0.00,6.53,168.87,39.64,15.59,363.41,528.41,0.00,0.00,0.00,0.00,43.05,0.00,43.05,0.71,43.75,37.13,0.00,0.00,37.13,19.50,0.00,19.50,0.00,56.63,515.53,"1,209.94","1,725.47",0.00,115.43,"1,610.04"
,CAR,Kalinga,Kalinga,Province,0.44,0.62,1.06,5.14,1.01,7.21,5.49,153.46,0.00,2.31,161.26,168.47,814.74,0.00,0.00,0.07,814.81,983.28,196.84,0.00,206.81,0.00,0.00,12.34,219.15,46.95,21.96,484.90,498.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.10,0.00,33.10,0.00,33.10,465.28,898.74,"1,364.02",209.91,11.32,"1,142.78"
,CAR,Mountain Province,Mountain Province,Province,6.67,4.14,10.81,1.24,0.35,12.40,0.06,97.57,0.00,0.72,98.35,110.74,666.53,0.92,0.00,0.00,667.45,778.19,151.57,7.27,159.65,0.00,0.00,35.89,202.81,108.31,27.80,490.50,287.69,0.00,0.00,0.00,0.00,63.62,0.00,63.62,15.08,78.70,37.37,0.00,0.00,37.37,67.02,0.00,67.02,0.00,104.40,261.99,307.00,568.99,115.88,15.06,438.05
,Region I,Ilocos Norte,Ilocos Norte,Province,65.05,92.92,157.97,9.60,4.50,172.06,14.08,91.26,0.00,14.00,119.34,291.40,"1,106.29",0.11,0.00,0.00,"1,106.40","1,397.80",207.97,98.95,303.42,0.00,0.00,29.08,431.45,94.94,36.98,771.34,626.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.08,57.65,0.00,57.65,0.00,57.73,568.73,"3,689.90","4,258.63",0.00,367.63,"3,891.00"
,Region I,Ilocos Sur,Ilocos Sur,Province,15.51,22.19,37.70,186.22,3.56,227.47,11.48,115.53,0.00,26.82,153.83,381.30,"1,090.92",0.00,0.00,0.00,"1,090.92","1,472.22",337.98,22.26,376.06,0.00,0.00,108.86,507.18,95.78,0.00,940.94,531.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.17,2.17,787.51,0.00,0.00,787.51,0.00,0.00,0.00,187.63,975.14,-441.69,"7,956.21","7,514.53",874.13,0.00,"6,640.40"
,Region I,La Union,La Union,Province,45.16,64.51,109.67,8.24,11.71,129.62,11.54,20.17,148.28,13.93,193.92,323.54,"1,072.72",0.34,0.00,0.00,"1,073.06","1,396.60",230.81,47.49,107.17,0.00,0.00,28.12,182.78,185.02,7.18,605.79,790.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.69,0.00,0.00,8.69,19.36,0.00,19.36,2.39,30.44,760.37,"3,672.37","4,432.75",371.61,9.53,"4,051.61"
,Region I,Pangasinan,Pangasinan,Province,148.92,214.97,363.89,116.87,124.58,605.34,25.93,440.40,0.00,8.28,474.60,"1,079.94","2,949.99",1.63,0.00,0.60,"2,952.23","4,032.17",464.78,233.85,"1,431.29",5.37,5.07,46.92,"1,722.50",178.19,19.72,"2,385.19","1,646.98",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,277.04,0.00,0.00,277.04,127.08,0.00,127.08,0.00,404.12,"1,242.86","5,006.73","6,249.59",7.41,7.67,"6,234.50"
