,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STATEMENT OF RECEIPTS AND EXPENDITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,by LGU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY 2025-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In Php Million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, REGION , PROVINCE , LGU NAME , LGU TYPE , CURRENT OPERATING INCOME ,,,,,,,,,,,,,,,,,,, TOTAL CURRENT OPERATING EXPENDITURES ,,,,,,,,, NET OPERATING INCOME/ (LOSS) FROM CURRENT OPERATIONS , NON-INCOME RECEIPTS ,,,,,,,,, NON-OPERATING EXPENDITURES ,,,,,,,,, NET INCREASE/ (DECREASE) IN FUNDS ," ADD: CASH BALANCE, BEGINNING ", FUND/ CASH AVAILABLE , Less: Payment of Prior Year/s Accounts Payable , CONTINUING  APPROPRIATION ," FUND/ CASH BALANCE, END "
,,,,, LOCAL SOURCES ,,,,,,,,,,,, EXTERNAL SOURCES ,,,,, TOTAL CURRENT OPERATING INCOME , GENERAL PUBLIC SERVICES ,SOCIAL SERVICES,,,,,,ECONOMIC SERVICES, DEBT SERVICE (Interest Expense & Other Charges) , TOTAL CURRENT OPERATING EXPENDITURES ,, CAPITAL/ INVESTMENT RECEIPTS ,,,, RECEIPTS FROM LOANS AND BORROWINGS ,,, Other Non-Income Receipts , TOTAL NON-INCOME RECEIPTS , CAPITAL/ INVESTMENT EXPENDITURES ,,,, DEBT SERVICE (Principal Cost) ,,, Other Non-Operating Expenditures , TOTAL NON-OPERATING EXPENDITURES ,,,,,,
,,,,, TAX REVENUE ,,,,,, NON-TAX REVENUE ,,,,, TOTAL LOCAL SOURCES , National Tax Allotment , Other Shares from National Tax Collection , Inter-Local Transfers , Extraordinary Receipts/ Grants/ Donations/ Aids , TOTAL EXTERNAL SOURCES ,,,,,,,,,,,,, Proceeds from Sale of Assets , Proceeds from Sale of Debt Securities of Other Entities , Collection of Loans Receivables , TOTAL CAPITAL/INVESTMENT RECEIPTS , Acquisition of Loans , Issuance of Bonds , TOTAL RECEIPTS FROM LOANS AND BORROWINGS ,,, Purchase/ Construct of Property Plant and Equipment  (Assets/ Capital Outlay) , Purchase of Debt Securities of Other Entities (Investment Outlay) , Grant/ Make Loan to Other Entities (Investment Outlay) , TOTAL CAPITAL/ INVESTMENT EXPENDITURES , Payment of Loan Amortization , Retirement/ Redemption of Bonds/ Debt Securities , TOTAL DEBT SERVICE (Principal Cost) ,,,,,,,,
,,,,, Real Property Tax ,,, Tax on Business , Other Taxes , Total Tax Revenue , Regulatory Fees , Service/ User Charges , Receipts from Economic Enterprises , Other Receipts , Total Non-Tax Revenue ,,,,,,,,," Education, Culture & Sports/ Manpower Development "," Health, Nutrition & Population Control ", Labor and Employment , Housing and Community Development , Social Services and Social Welfare , TOTAL SOCIAL SERVICES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, General Fund , Special Education Fund , Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAR,Abra,Abra,Province,0.68,1.22,1.90,0.78,0.95,3.63,0.50,16.66,0.00,0.19,17.36,20.99,459.07,0.00,0.00,0.00,459.07,480.06,131.38,90.97,38.05,0.40,0.00,3.83,133.26,30.16,0.00,294.79,185.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,304.08,0.00,0.00,304.08,0.00,0.00,0.00,0.00,304.08,-118.79,"1,313.21","1,194.42",21.66,170.02,"1,002.74"
,CAR,Apayao,Apayao,Province,0.78,1.09,1.87,1.43,0.15,3.46,2.22,26.54,3.96,0.68,33.40,36.86,421.65,0.01,0.38,0.10,422.14,459.00,53.01,11.75,22.57,0.00,0.00,6.34,40.65,14.21,0.00,107.87,351.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.90,40.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,392.02,"1,426.41","1,818.43",147.04,36.07,"1,635.33"
,CAR,Benguet,Benguet,Province,23.63,23.05,46.68,2.42,14.97,64.07,1.13,16.58,76.15,2.79,96.66,160.72,467.32,26.62,0.00,0.01,493.94,654.66,115.13,13.57,47.41,0.00,0.00,14.30,75.28,113.45,0.00,303.85,350.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.34,0.00,0.00,34.34,0.00,0.00,0.00,0.00,34.34,316.47,"1,112.83","1,429.30",176.94,0.00,"1,252.36"
,CAR,Ifugao,Ifugao,Province,10.00,8.79,18.79,0.97,0.41,20.17,0.55,62.23,0.00,0.46,63.24,83.41,372.07,0.00,0.00,0.00,372.07,455.48,58.56,5.63,57.41,0.00,0.00,2.35,65.39,15.39,7.38,146.71,308.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,0.71,5.53,0.00,0.00,5.53,9.44,0.00,9.44,0.00,14.96,294.51,702.79,997.29,0.00,55.42,941.88
,CAR,Kalinga,Kalinga,Province,0.22,0.32,0.54,3.47,0.71,4.73,2.22,65.83,0.00,0.65,68.70,73.43,407.37,0.00,0.00,0.03,407.39,480.82,77.13,0.00,71.53,0.00,0.00,3.12,74.65,17.43,11.01,180.22,300.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.78,0.00,16.78,0.00,16.78,283.82,898.74,"1,182.56",165.64,0.00,"1,016.92"
,CAR,Mountain Province,Mountain Province,Province,6.07,3.27,9.34,0.66,0.18,10.18,0.05,49.94,0.00,0.37,50.35,60.54,333.26,0.92,0.00,0.00,334.18,394.72,68.80,2.00,65.74,0.00,0.00,14.36,82.10,38.90,15.90,205.70,189.02,0.00,0.00,0.00,0.00,35.78,0.00,35.78,15.08,50.86,0.33,0.00,0.00,0.33,36.93,0.00,36.93,0.00,37.26,202.61,307.00,509.61,109.69,0.17,399.75
,Region I,Ilocos Norte,Ilocos Norte,Province,58.01,82.87,140.87,4.77,1.24,146.88,11.44,39.89,0.00,6.77,58.09,204.97,553.15,0.00,0.00,0.00,553.15,758.12,77.45,38.81,71.66,0.00,0.00,5.64,116.11,38.96,18.43,250.95,507.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.73,0.00,28.73,0.00,28.73,478.43,"3,689.90","4,168.33",0.00,115.51,"4,052.82"
,Region I,Ilocos Sur,Ilocos Sur,Province,7.04,10.10,17.14,107.62,2.15,126.91,4.48,43.57,0.00,0.00,48.05,174.96,545.46,0.00,0.00,0.00,545.46,720.43,86.58,12.11,66.37,0.00,0.00,22.62,101.10,11.41,0.00,199.09,521.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.47,14.24,0.00,0.00,14.24,0.00,0.00,0.00,6.20,20.44,501.37,"7,956.21","8,457.58",306.76,0.00,"8,150.82"
,Region I,La Union,La Union,Province,33.88,48.40,82.28,17.66,7.41,107.35,6.80,11.23,49.12,3.71,70.85,178.20,536.36,0.11,0.00,0.00,536.47,714.67,89.27,3.14,45.72,0.00,0.00,8.81,57.66,57.93,2.44,207.31,507.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.68,0.00,9.68,2.39,12.07,495.30,0.00,495.30,0.00,0.00,495.30
,Region I,Pangasinan,Pangasinan,Province,37.15,53.07,90.21,66.54,19.46,176.21,12.64,146.57,0.00,2.34,161.55,337.76,"1,475.00",1.33,0.00,0.00,"1,476.33","1,814.09",94.61,25.77,595.58,1.77,1.93,11.63,636.68,46.96,10.72,788.96,"1,025.12",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,90.00,60.73,0.00,60.73,0.00,150.73,874.39,"5,006.73","5,881.12",7.41,7.67,"5,866.03"
,Region II,Batanes,Batanes,Province,0.30,0.71,1.01,0.07,0.15,1.23,0.20,6.48,0.00,0.42,7.10,8.33,195.80,0.00,0.00,0.00,195.80,204.13,90.52,0.58,14.27,0.00,0.00,4.97,19.81,22.34,0.00,132.67,71.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.71,4.71,9.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,9.00,67.17,743.83,810.99,14.02,58.72,738.25
