, REGION , PROVINCE , LGU NAME , LGU TYPE , CURRENT OPERATING INCOME ,,,,,,,,,,,,,,,,,,, TOTAL CURRENT OPERATING EXPENDITURES ,,,,,,,,, NET OPERATING INCOME/ (LOSS) FROM CURRENT OPERATIONS , NON-INCOME RECEIPTS ,,,,,,,,, NON-OPERATING EXPENDITURES ,,,,,,,,, NET INCREASE/ (DECREASE) IN FUNDS ," ADD: CASH BALANCE, BEGINNING ", FUND/ CASH AVAILABLE , Less: Payment of Prior Year/s Accounts Payable , CONTINUING  APPROPRIATION ," FUND/ CASH BALANCE, END "
,,,,, LOCAL SOURCES ,,,,,,,,,,,, EXTERNAL SOURCES ,,,,, TOTAL CURRENT OPERATING INCOME , GENERAL PUBLIC SERVICES ,SOCIAL SERVICES,,,,,,ECONOMIC SERVICES, DEBT SERVICE (Interest Expense & Other Charges) , TOTAL CURRENT OPERATING EXPENDITURES ,, CAPITAL/ INVESTMENT RECEIPTS ,,,, RECEIPTS FROM LOANS AND BORROWINGS ,,, Other Non-Income Receipts , TOTAL NON-INCOME RECEIPTS , CAPITAL/ INVESTMENT EXPENDITURES ,,,, DEBT SERVICE (Principal Cost) ,,, Other Non-Operating Expenditures , TOTAL NON-OPERATING EXPENDITURES ,,,,,,
,,,,, TAX REVENUE ,,,,,, NON-TAX REVENUE ,,,,, TOTAL LOCAL SOURCES , National Tax Allotment , Other Shares from National Tax Collection , Inter-Local Transfers , Extraordinary Receipts/ Grants/ Donations/ Aids , TOTAL EXTERNAL SOURCES ,,,,,,,,,,,,, Proceeds from Sale of Assets , Proceeds from Sale of Debt Securities of Other Entities , Collection of Loans Receivables , TOTAL CAPITAL/INVESTMENT RECEIPTS , Acquisition of Loans , Issuance of Bonds , TOTAL RECEIPTS FROM LOANS AND BORROWINGS ,,, Purchase/ Construct of Property Plant and Equipment  (Assets/ Capital Outlay) , Purchase of Debt Securities of Other Entities (Investment Outlay) , Grant/ Make Loan to Other Entities (Investment Outlay) , TOTAL CAPITAL/ INVESTMENT EXPENDITURES , Payment of Loan Amortization , Retirement/ Redemption of Bonds/ Debt Securities , TOTAL DEBT SERVICE (Principal Cost) ,,,,,,,,
,,,,, Real Property Tax ,,, Tax on Business , Other Taxes , Total Tax Revenue , Regulatory Fees , Service/ User Charges , Receipts from Economic Enterprises , Other Receipts , Total Non-Tax Revenue ,,,,,,,,," Education, Culture & Sports/ Manpower Development "," Health, Nutrition & Population Control ", Labor and Employment , Housing and Community Development , Social Services and Social Welfare , TOTAL SOCIAL SERVICES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, General Fund , Special Education Fund , Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Region II,Batanes,Batanes,Province,1.88,2.84,4.72,0.09,0.57,5.38,0.48,14.64,0.00,4.03,19.16,24.54,587.40,0.00,0.00,0.00,587.40,611.94,227.84,1.75,43.83,0.00,0.00,28.70,74.28,89.92,0.00,392.04,219.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.05,6.05,10.48,0.00,0.00,10.48,0.00,0.00,0.00,0.00,10.48,215.46,743.83,959.28,20.81,95.72,842.76
,Region II,Cagayan,Cagayan,Province,32.93,47.04,79.98,20.50,8.32,108.80,2.83,23.78,17.05,7.97,51.63,160.43,"3,146.88",3.30,0.00,0.00,"3,150.18","3,310.61",775.83,39.95,345.16,0.00,0.00,74.48,459.59,180.94,0.00,"1,416.36","1,894.25",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.53,0.00,0.00,32.53,0.00,0.00,0.00,5.02,37.55,"1,856.71","6,073.06","7,929.77","1,499.73",397.49,"6,032.55"
,Region II,Isabela,Isabela,Province,72.44,101.03,173.47,29.00,20.07,222.54,2.68,466.31,0.00,0.36,469.35,691.89,"3,888.44",3.08,0.00,0.00,"3,891.52","4,583.41",989.76,90.00,400.63,4.33,0.00,648.50,"1,143.46",130.77,82.54,"2,346.53","2,236.89",0.00,0.00,0.00,0.00,142.21,0.00,142.21,38.93,181.13,110.87,0.00,0.00,110.87,21.39,0.00,21.39,0.00,132.26,"2,285.76","5,941.78","8,227.54",924.21,498.94,"6,804.40"
,Region II,Nueva Vizcaya,Nueva Vizcaya,Province,36.94,52.74,89.69,10.77,11.49,111.94,20.60,248.76,0.00,1.85,271.21,383.15,"1,661.30",132.45,0.00,0.00,"1,793.75","2,176.90",368.72,32.85,395.96,0.00,0.00,243.25,672.07,200.78,28.62,"1,270.18",906.72,0.00,0.00,0.00,0.00,282.57,0.00,282.57,0.00,282.57,81.82,0.00,0.00,81.82,55.76,0.00,55.76,0.00,137.58,"1,051.72","1,154.43","2,206.14",2.08,139.49,"2,064.57"
,Region II,Quirino,Quirino,Province,6.84,9.87,16.71,3.83,1.33,21.87,1.13,318.03,60.99,0.09,380.25,402.12,"1,229.96",0.00,3.39,0.00,"1,233.35","1,635.47",265.38,32.46,261.88,1.99,0.00,127.78,424.10,142.05,9.36,840.89,794.59,0.00,0.00,0.00,0.00,32.40,0.00,32.40,13.45,45.85,14.28,0.00,0.00,14.28,44.13,0.00,44.13,0.00,58.41,782.03,"1,869.96","2,651.98",176.71,35.93,"2,439.35"
,Region III,Aurora,Aurora,Province,14.73,21.04,35.76,8.82,5.27,49.86,1.58,110.67,0.00,0.29,112.54,162.40,"1,217.11",0.00,0.00,0.00,"1,217.11","1,379.51",303.15,28.66,254.65,17.75,0.00,76.84,377.90,124.89,24.86,830.79,548.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.77,17.77,141.56,0.00,0.00,141.56,20.15,0.00,20.15,3.83,165.55,400.94,686.93,"1,087.88",125.68,388.63,573.57
,Region III,Bataan,Bataan,Province,580.44,829.20,"1,409.64",26.36,175.75,"1,611.75",2.73,220.65,0.00,2.24,225.61,"1,837.36","1,623.80",24.62,0.00,57.55,"1,705.98","3,543.34",825.91,355.81,206.16,6.67,4.71,119.31,692.67,102.49,86.79,"1,707.86","1,835.49",0.00,0.00,0.00,0.00,46.22,0.00,46.22,0.00,46.22,124.57,0.00,0.00,124.57,306.84,0.00,306.84,0.00,431.41,"1,450.29",740.61,"2,190.90",443.63,275.65,"1,471.63"
,Region III,Bulacan,Bulacan,Province,462.30,658.78,"1,121.08",129.05,153.54,"1,403.66",77.22,633.17,0.00,10.27,720.65,"2,124.31","4,820.89",8.99,0.00,0.00,"4,829.88","6,954.20","1,769.78",172.65,"1,641.98",12.30,0.00,147.26,"1,974.18",179.81,29.35,"3,953.12","3,001.08",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,773.88,0.00,0.00,773.88,115.83,0.00,115.83,358.95,"1,248.66","1,752.42","1,977.76","3,730.18",594.86,0.00,"3,135.32"
,Region III,Nueva Ecija,Nueva Ecija,Province,166.39,234.50,400.88,1.84,287.75,690.48,10.15,114.47,0.00,7.12,131.74,822.22,"3,757.00",174.09,0.00,0.00,"3,931.09","4,753.31",777.31,53.35,367.08,4.93,0.00,"1,134.11","1,559.48",159.62,54.62,"2,551.02","2,202.29",0.00,0.00,0.00,0.00,790.98,0.00,790.98,0.00,790.98,"1,352.95",0.00,0.00,"1,352.95",258.89,0.00,258.89,0.00,"1,611.84","1,381.43","3,347.87","4,729.30","1,257.11",246.47,"3,225.73"
,Region III,Pampanga,Pampanga,Province,156.47,223.52,379.99,445.05,102.35,927.40,68.79,5.44,843.95,88.25,"1,006.43","1,933.83","3,374.89",1.21,0.00,0.00,"3,376.10","5,309.93",852.44,45.93,162.87,0.00,0.00,476.65,685.45,872.36,0.00,"2,410.25","2,899.68",0.49,0.00,0.00,0.49,0.00,0.00,0.00,0.00,0.49,328.30,0.00,0.00,328.30,0.00,0.00,0.00,0.00,328.30,"2,571.87","10,487.60","13,059.46","1,406.11",274.45,"11,378.90"
